Project,ValgJ,,ValgJ (DUCB),,ValgJ (DSTS),,ValgT,,ValgT (DUCB),,ValgT (DSTS),,
,time,violation,time,violation,time,violation,time,unique_traces,time,unique_traces,time,unique_traces,baseline (uniq)
vowpal-wabbit-java,"304,911",0,"374,410",0,"373,964",0,"607,044",220,"693,232",218,"727,228",239,280
xeger,"44,342",1,"34,250",1,"43,097",1,"54,579","1,726","66,378",309,"55,089",404,"2,513"
graphstream/gs-algo,"87,205",14,"28,394",14,"30,260",14,"342,563","15,819","38,797","1,613","83,215","2,836","224,873"
apache/commons-graph,"32,240",10,"29,623",10,"31,148",10,"57,123","15,975","47,245","25,067","44,658","4,691","35,461"
graphstream/gs-core,"60,431",4,"52,966",4,"64,243",4,"104,370",789,"81,947",659,"88,122",697,829
palindromicity/simple-syslog,"42,232",1,"38,279",1,"45,072",1,"40,736","2,020","42,549","1,539","45,590","1,624","2,463"
andylamp/BPlusTree,"755,246",0,"748,633",0,"749,631",0,"755,639",879,"771,223",549,"755,443",479,"1,170"
JetBrains/jetCheck,"27,878",3,"26,064",3,"32,995",3,"42,754","1,030","37,904",326,"42,158",577,"1,698"
stackify/stackify-api-java,"470,825",12,"478,003",12,"487,490",12,"543,120","14,368","584,963","10,738","478,900","12,170","16,807"
jenkinsci/cppcheck-plugin,"299,101",8,"308,822",8,"291,570",8,"301,238","6,127","295,680","4,479","300,087","5,026","7,142"
nuxeo/gatling-report,"16,376",0,"15,230",0,"15,216",0,"74,322","3,499","16,212",261,"30,648",302,"29,140"
jingpeicomp/id-generator,"172,943",0,"157,191",0,"266,459",0,"515,330",379,"516,857",330,"592,704",352,399
jkff/ire,"27,423",1,"21,386",1,"38,683",1,"43,593",963,"29,887",254,"46,986",405,"1,511"
umbrant/QuantileEstimation,"42,579",15,"42,730",15,"43,301",15,"213,743","23,285","247,662","23,290","219,703","23,258","23,290"
javasoze/kamikaze,"248,393",0,"396,434",0,"180,885",0,"241,438",402,"245,008",394,"193,624",384,427
meanbeanlib/meanbean,"170,373",4,"248,689",4,"231,540",4,"897,571","118,120","934,948","125,433","759,459","116,625","126,465"
genepi/haplogrep3,"100,010",15,"96,243",15,"107,744",15,"494,017","94,197","473,771","78,682","498,948","98,641","73,189"
mgormley/pacaya,"110,955",9,"105,629",9,"116,618",9,"130,644","2,920","123,193","1,704","145,318","2,246","3,490"
hankcs/AhoCorasickDoubleArrayTrie,"158,331",2,"146,991",2,"151,026",2,"198,381","2,450","184,817",936,"184,548",566,"3,971"
Quickhull3d/quickhull3d,"29,493",0,"26,753",0,"30,007",0,"48,035","98,414","43,862","91,469","35,678","7,529","101,968"
jbossas/jboss-dmr,"207,302",7,"191,838",7,"225,967",6,"611,464","2,061","371,822",832,"555,811",920,"2,320"
